Director,Rating,Votes
"James Burrows",8.5,4516
"Pamela Fryman",8.7,4019
"Arlene Sanford",8.1,4274
"Peter Bonerz",8.3,3595
"Paul Lazarus",8.2,3926
"Alan Myerson",8.4,4044
"Michael Lembeck",8.5,3652
"Gail Mancuso",8.4,3375
"Robby Benson",8.2,3315
"Kevin Bright",8.6,3477
"Ellen Gittelsohn",8.3,3550
"Mary Kay Place",8.5,3581
"Thomas Schlamme",8,3558
"Steve Zuckerman",8.1,3246
"Terry Hughes",8.2,3108
"Sam Simon",8.3,3154
"Shelley Jensen",8.4,3266
"Gary Halvorson",8.4,2992
"David Steinberg",8.5,3210
"Dana De Vally Piazza",8.4,3067
"Joe Regalbuto",9.1,3781
"Andrew Tsao",8.6,3174
"Todd Holland",8,2898
"David Schwimmer",8.5,2941
"Ben Weiss",8.3,2840
"Stephen Prime",8.4,2819
"Sheldon Epps",8.5,2810
"Roger Christiansen",8.2,2773
