season,episode_number,Episode_title,stars,votes,air_date,us_views_millions
1,1,"The One Where Monica Gets a Roommate: The Pilot",8.3,7440,22/9/1994,21.5
1,2,"The One with the Sonogram at the End",8.1,4888,29/9/1994,20.2
1,3,"The One with the Thumb",8.2,4605,6/10/1994,19.5
1,4,"The One with George Stephanopoulos",8.1,4468,13/10/1994,19.7
1,5,"The One with the East German Laundry Detergent",8.5,4438,20/10/1994,18.6
1,6,"The One with the Butt",8.1,4274,27/10/1994,18.2
1,7,"The One with the Blackout",9,5469,3/11/1994,23.5
1,8,"The One Where Nana Dies Twice",8.1,4156,10/11/1994,21.1
1,9,"The One Where Underdog Gets Away",8.2,4038,17/11/1994,23.1
1,10,"The One with the Monkey",8.1,4064,15/12/1994,19.9
1,11,"The One with Mrs. Bing",8.2,3996,5/1/1995,26.6
1,12,"The One with the Dozen Lasagnas",8.2,3926,12/1/1995,24
1,13,"The One with the Boobies",8.7,4172,19/1/1995,25.8
1,14,"The One with the Candy Hearts",8.3,3866,9/2/1995,23.8
1,15,"The One with the Stoned Guy",8.2,3915,16/2/1995,24.8
1,16,"The One with Two Parts: Part 1",8.2,3834,23/2/1995,26.1
1,17,"The One with Two Parts: Part 2",8.5,3883,23/2/1995,30.5
1,18,"The One with All the Poker",8.8,4340,2/3/1995,30.4
1,19,"The One Where the Monkey Gets Away",8.1,3734,9/3/1995,29.4
1,20,"The One with the Evil Orthodontist",7.9,3736,6/4/1995,30
1,21,"The One with the Fake Monica",7.9,3769,27/4/1995,28.4
1,22,"The One with the Ick Factor",8.3,3720,4/5/1995,29.9
1,23,"The One with the Birth",8.7,3919,11/5/1995,28.7
1,24,"The One Where Rachel Finds Out",8.9,4187,18/5/1995,31.3
2,1,"The One with Ross's New Girlfriend",8.5,3814,21/9/1995,32.1
2,2,"The One with the Breast Milk",8.2,3669,28/9/1995,29.8
2,3,"The One Where Heckles Dies",8.4,3676,5/10/1995,30.2
2,4,"The One with Phoebe's Husband",8,3555,12/10/1995,28.1
2,5,"The One with Five Steaks and an Eggplant",8.3,3550,19/10/1995,28.3
2,6,"The One with the Baby on the Bus",8.6,3822,2/11/1995,30.2
2,7,"The One Where Ross Finds Out",9,4319,9/11/1995,30.5
2,8,"The One with the List",8.5,3581,16/11/1995,32.9
2,9,"The One with Phoebe's Dad",8,3444,14/12/1995,27.8
2,10,"The One with Russ",8,3591,4/1/1996,32.2
2,11,"The One with the Lesbian Wedding",8.1,3524,18/1/1996,31.6
2,12,"The One After the Superbowl: Part 1",8.6,3723,28/1/1996,52.9
2,13,"The One After the Superbowl: Part 2",8.8,3864,28/1/1996,52.9
2,14,"The One with the Prom Video",9.4,5736,1/2/1996,33.6
2,15,"The One Where Ross and Rachel... You Know",8.9,3928,8/2/1996,32.9
2,16,"The One Where Joey Moves Out",8.6,3435,15/2/1996,31.1
2,17,"The One Where Eddie Moves In",8.3,3407,22/2/1996,30.2
2,18,"The One Where Dr. Ramoray Dies",8.5,3403,21/3/1996,30.1
2,19,"The One Where Eddie Won't Go",8.6,3495,28/3/1996,31.2
2,20,"The One Where Old Yeller Dies",8.2,3295,4/4/1996,27.4
2,21,"The One with the Bullies",8.2,3337,25/4/1996,24.7
2,22,"The One with the Two Parties",9,4151,2/5/1996,25.5
2,23,"The One with the Chicken Pox",8.1,3360,9/5/1996,26.1
2,24,"The One with Barry and Mindy's Wedding",8.2,3335,16/5/1996,29
3,1,"The One with the Princess Leia Fantasy",8.4,3482,19/9/1996,26.8
3,2,"The One Where No One's Ready",9,4637,26/9/1996,26.7
3,3,"The One with the Jam",8.1,3324,3/10/1996,25.2
3,4,"The One with the Metaphorical Tunnel",8.1,3199,10/10/1996,26.1
3,5,"The One with Frank Jr.",8.1,3292,17/10/1996,23.3
3,6,"The One with the Flashback",9.1,4291,31/10/1996,23.3
3,7,"The One with the Race Car Bed",8.3,3238,7/11/1996,27.4
3,8,"The One with the Giant Poking Device",8.4,3258,14/11/1996,28.7
3,9,"The One with the Football",9,4588,21/11/1996,29.3
3,10,"The One Where Rachel Quits",8.1,3268,12/12/1996,25.1
3,11,"The One Where Chandler Can't Remember Which Sister",8.6,3374,9/1/1997,29.8
3,12,"The One with All the Jealousy",8.2,3213,16/1/1997,29.6
3,13,"The One Where Monica and Richard Are Just Friends",8.2,3225,30/1/1997,28
3,14,"The One with Phoebe's Ex-Partner",7.9,3211,6/2/1997,28.9
3,15,"The One Where Ross and Rachel Take a Break",8.5,3450,13/2/1997,27.3
3,16,"The One with the Morning After",9.1,4192,20/2/1997,28.3
3,17,"The One Without the Ski Trip",8.3,3154,6/3/1997,25.8
3,18,"The One with the Hypnosis Tape",8.4,3268,13/3/1997,28.1
3,19,"The One with the Tiny T-Shirt",8.2,3147,27/3/1997,23.7
3,20,"The One with the Dollhouse",8.1,3134,10/4/1997,24.4
3,21,"The One with the Chick and the Duck",8.7,3359,17/4/1997,23.2
3,22,"The One with the Screamer",8.3,3185,24/4/1997,22.6
3,23,"The One with Ross's Thing",8.1,3120,1/5/1997,24.2
3,24,"The One with the Ultimate Fighting Champion",8.1,3253,8/5/1997,23.1
3,25,"The One at the Beach",8.9,3600,15/5/1997,28.8
4,1,"The One with the Jellyfish",9.1,4099,25/9/1997,29.4
4,2,"The One with the Cat",8.1,3169,2/10/1997,25.5
4,3,"The One with the 'Cuffs",8.5,3185,9/10/1997,24
4,4,"The One with the Ballroom Dancing",8.2,3122,16/10/1997,24.3
4,5,"The One with Joey's New Girlfriend",8.4,3157,30/10/1997,24.4
4,6,"The One with the Dirty Girl",8.5,3238,6/11/1997,25.7
4,7,"The One Where Chandler Crosses the Line",8.7,3294,13/11/1997,26.4
4,8,"The One with Chandler in a Box",9.1,4139,20/11/1997,26.8
4,9,"The One Where They're Going to Party!",7.9,3045,11/12/1997,23.9
4,10,"The One with the Girl from Poughkeepsie",8.1,3025,18/12/1997,23.2
4,11,"The One with Phoebe's Uterus",8.5,3210,8/1/1998,23.7
4,12,"The One with the Embryos",9.5,6006,15/1/1998,27.1
4,13,"The One with Rachel's Crush",8.2,3006,29/1/1998,25.3
4,14,"The One with Joey's Dirty Day",8.2,3028,5/2/1998,25.1
4,15,"The One with All the Rugby",8.5,3180,26/2/1998,24.4
4,16,"The One with the Fake Party",8.2,3061,19/3/1998,23.1
4,17,"The One with the Free Porn",8.6,3212,26/3/1998,23.2
4,18,"The One with Rachel's New Dress",8.3,3011,2/4/1998,21.7
4,19,"The One with All the Haste",8.7,3168,9/4/1998,21.8
4,20,"The One with All the Wedding Dresses",8.5,3110,16/4/1998,21.9
4,21,"The One with the Invitation",7.2,3364,23/4/1998,21.5
4,22,"The One with the Worst Best Man Ever",8.5,3052,30/4/1998,23.2
4,23,"The One with Ross's Wedding",8.7,3343,7/5/1998,31.6
4,24,"The One with Ross's Wedding",9.2,4217,7/5/1998,31.6
5,1,"The One After Ross Says Rachel",8.9,3609,24/9/1998,31.1
5,2,"The One with All the Kissing",9,3674,1/10/1998,25.4
5,3,"The One Hundredth",8.8,3331,8/10/1998,26.8
5,4,"The One Where Phoebe Hates PBS",8.3,2995,15/10/1998,24.1
5,5,"The One with the Kips",8.8,3215,29/10/1998,25.9
5,6,"The One with the Yeti",8.1,3001,5/11/1998,25
5,7,"The One Where Ross Moves In",8.4,3029,12/11/1998,24.4
5,8,"The One with All the Thanksgivings",9.2,4261,19/11/1998,23.9
5,9,"The One with Ross's Sandwich",9.1,3913,10/12/1998,23
5,10,"The One with the Inappropriate Sister",8.2,2980,17/12/1998,23.7
5,11,"The One with All the Resolutions",9.1,3781,7/1/1999,27
5,12,"The One with Chandler's Work Laugh",8.3,2949,21/1/1999,24.8
5,13,"The One with Joey's Bag",8.1,2959,4/2/1999,24.9
5,14,"The One Where Everybody Finds Out",9.7,8066,11/2/1999,27.7
5,15,"The One with the Girl Who Hits Joey",8.5,3125,18/2/1999,29.3
5,16,"The One with the Cop",8.6,3174,25/2/1999,26
5,17,"The One with Rachel's Inadvertent Kiss",8.5,2977,18/3/1999,24.5
5,18,"The One Where Rachel Smokes",8,2898,8/4/1999,21.9
5,19,"The One Where Ross Can't Flirt",8.7,3242,22/4/1999,20.9
5,20,"The One with the Ride Along",8.3,2888,29/4/1999,19.6
5,21,"The One with the Ball",8.5,3010,6/5/1999,20.9
5,22,"The One with Joey's Big Break",8.3,2857,13/5/1999,21.3
5,23,"The One in Vegas: Part 1",8.8,3282,20/5/1999,25.9
5,24,"The One in Vegas: Part 2",9.1,3726,20/5/1999,25.9
6,1,"The One After Vegas",8.7,3175,23/9/1999,27.7
6,2,"The One Where Ross Hugs Rachel",8.2,2883,30/9/1999,22.9
6,3,"The One with Ross's Denial",8.2,2851,7/10/1999,21.6
6,4,"The One Where Joey Loses His Insurance",8.5,2976,14/10/1999,21.1
6,5,"The One with Joey's Porsche",8.2,2902,21/10/1999,22.4
6,6,"The One on the Last Night",8.5,2942,4/11/1999,23.6
6,7,"The One Where Phoebe Runs",8.4,2959,11/11/1999,22.7
6,8,"The One with Ross' Teeth",8.5,3074,18/11/1999,22.1
6,9,"The One Where Ross Got High",9.2,4187,25/11/1999,19.2
6,10,"The One with the Routine",8.6,3139,16/12/1999,22.4
6,11,"The One with the Apothecary Table",8.1,2892,6/1/2000,22.3
6,12,"The One with the Joke",8.1,2829,13/1/2000,22.3
6,13,"The One with Rachel's Sister",8.2,2950,3/2/2000,24.1
6,14,"The One Where Chandler Can't Cry",8.6,2996,10/2/2000,23.8
6,15,"The One That Could Have Been",8.5,3097,17/2/2000,20.7
6,16,"The One That Could Have Been",8.5,3037,17/2/2000,20.7
6,17,"The One with Unagi",9.1,4180,24/2/2000,22.1
6,18,"The One Where Ross Dates a Student",8.3,2870,9/3/2000,20.5
6,19,"The One with Joey's Fridge",8.3,2920,23/3/2000,21.5
6,20,"The One with Mac and C.H.E.E.S.E.",7.4,3096,13/4/2000,18.8
6,21,"The One Where Ross Meets Elizabeth's Dad",8.6,3063,27/4/2000,20.6
6,22,"The One Where Paul's the Man",9,3578,4/5/2000,20
6,23,"The One with the Ring",8.6,2980,11/5/2000,20.9
6,24,"The One with the Proposal",8.8,3065,18/5/2000,30.7
6,25,"The One with the Proposal",9.3,4186,18/5/2000,30.7
7,1,"The One with Monica's Thunder",8.4,3022,12/10/2000,25.54
7,2,"The One with Rachel's Book",8.3,2817,12/10/2000,27.93
7,3,"The One with Phoebe's Cookies",8.1,2803,19/10/2000,22.7
7,4,"The One with Rachel's Assistant",8.1,2820,26/10/2000,22.66
7,5,"The One with the Engagement Picture",8.1,2785,2/11/2000,24.43
7,6,"The One with the Nap Partners",8.9,3369,9/11/2000,22.01
7,7,"The One with Ross's Library Book",8.5,2856,16/11/2000,23.73
7,8,"The One Where Chandler Doesn't Like Dogs",8.2,2772,23/11/2000,16.57
7,9,"The One with All the Candy",8.1,2753,7/12/2000,21.08
7,10,"The One with the Holiday Armadillo",8.5,3014,14/12/2000,23.26
7,11,"The One with All the Cheesecakes",8.6,2936,4/1/2001,24.37
7,12,"The One Where They're Up All Night",8.7,2983,11/1/2001,22.86
7,13,"The One Where Rosita Dies",8.4,2819,1/2/2001,22.24
7,14,"The One Where They All Turn Thirty",8.6,2976,8/2/2001,22.4
7,15,"The One with Joey's New Brain",8.4,2896,15/2/2001,21.75
7,16,"The One with the Truth About London",8.7,2961,22/2/2001,21.22
7,17,"The One with the Cheap Wedding Dress",8.4,2758,15/3/2001,20.84
7,18,"The One with Joey's Award",8.4,2793,29/3/2001,17.81
7,19,"The One with Ross and Monica's Cousin",8.7,3155,19/4/2001,16.55
7,20,"The One with Rachel's Big Kiss",8.4,2894,26/4/2001,16.3
7,21,"The One with the Vows",7.5,2832,3/5/2001,15.65
7,22,"The One with Chandler's Dad",8.4,2822,10/5/2001,17.23
7,23,"The One with Monica and Chandler's Wedding: Part 1",8.9,3178,17/5/2001,30.05
7,24,"The One with Monica and Chandler's Wedding: Part 2",9.2,3563,17/5/2001,30.05
8,1,"The One After I Do",8.7,3005,27/9/2001,31.7
8,2,"The One with the Red Sweater",9.1,3470,4/10/2001,30.04
8,3,"The One Where Rachel Tells...",8.7,2858,11/10/2001,29.2
8,4,"The One with the Videotape",9.3,4114,18/10/2001,25.58
8,5,"The One with Rachel's Date",8.1,2703,25/10/2001,25.64
8,6,"The One with the Halloween Party",8.5,2969,1/11/2001,26.96
8,7,"The One with the Stain",7.9,2766,8/11/2001,24.24
8,8,"The One with the Stripper",8.8,3082,15/11/2001,26.54
8,9,"The One with the Rumor",9.3,5291,22/11/2001,24.24
8,10,"The One with Monica's Boots",8.1,2765,6/12/2001,22.44
8,11,"The One with Ross's Step Forward",8,2636,13/12/2001,23.85
8,12,"The One Where Joey Dates Rachel",8.5,2871,10/1/2002,25.53
8,13,"The One Where Chandler Takes a Bath",8.6,2800,17/1/2002,29.24
8,14,"The One with the Secret Closet",8.2,2654,31/1/2002,28.64
8,15,"The One with the Birthing Video",8.4,2643,7/2/2002,28.64
8,16,"The One Where Joey Tells Rachel",8.3,2698,28/2/2002,27.52
8,17,"The One with the Tea Leaves",8.1,2674,7/3/2002,26.3
8,18,"The One in Massapequa",8.2,2699,28/3/2002,22.05
8,19,"The One with Joey's Interview",7.5,2804,4/4/2002,22.59
8,20,"The One with the Baby Shower",8.2,2699,25/4/2002,22.24
8,21,"The One with the Cooking Class",8.2,2690,2/5/2002,23.97
8,22,"The One Where Rachel Is Late",8.3,2662,9/5/2002,24.32
8,23,"The One Where Rachel Has a Baby: Part 1",8.8,2906,16/5/2002,34.91
8,24,"The One Where Rachel Has a Baby: Part 2",8.9,3150,16/5/2002,34.91
9,1,"The One Where No One Proposes",8.6,2939,26/9/2002,34.01
9,2,"The One Where Emma Cries",8.5,2957,3/10/2002,28.93
9,3,"The One with the Pediatrician",8.2,2733,10/10/2002,26.63
9,4,"The One with the Sharks",8.2,2764,17/10/2002,25.82
9,5,"The One with Phoebe's Birthday Dinner",8.5,2799,31/10/2002,24.46
9,6,"The One with the Male Nanny",8.4,2961,7/11/2002,27.51
9,7,"The One with Ross's Inappropriate Song",8.7,2971,14/11/2002,25.35
9,8,"The One with Rachel's Other Sister",8.8,3273,21/11/2002,26.76
9,9,"The One with Rachel's Phone Number",8.2,2702,5/12/2002,25.43
9,10,"The One with Christmas in Tulsa",7.5,2804,12/12/2002,22.29
9,11,"The One Where Rachel Goes Back to Work",8,2601,9/1/2003,23.67
9,12,"The One with Phoebe's Rats",8,2688,16/1/2003,23.66
9,13,"The One Where Monica Sings",8.2,2685,30/1/2003,25.82
9,14,"The One with the Blind Dates",8.2,2642,6/2/2003,23.37
9,15,"The One with the Mugging",8.3,2670,13/2/2003,20.85
9,16,"The One with the Boob Job",8.2,2588,20/2/2003,19.52
9,17,"The One with the Memorial Service",8.5,2713,13/3/2003,21
9,18,"The One with the Lottery",8.6,2792,3/4/2003,20.79
9,19,"The One with Rachel's Dream",8.1,2616,17/4/2003,18.25
9,20,"The One with the Soap Opera Party",8.2,2615,24/4/2003,20.71
9,21,"The One with the Fertility Test",8.2,2557,1/5/2003,19.03
9,22,"The One with the Donor",7.8,2635,8/5/2003,19.55
9,23,"The One in Barbados",8.5,2705,15/5/2003,25.46
9,24,"The One in Barbados",8.6,2844,15/5/2003,25.46
10,1,"The One After Joey and Rachel Kiss",8.5,3113,25/9/2003,24.54
10,2,"The One Where Ross Is Fine",8.8,3366,2/10/2003,22.38
10,3,"The One with Ross's Tan",8.8,3277,9/10/2003,21.87
10,4,"The One with the Cake",8.3,2825,23/10/2003,18.77
10,5,"The One Where Rachel's Sister Babysits",8.2,2812,30/10/2003,19.37
10,6,"The One with Ross' Grant",8.2,2853,6/11/2003,20.38
10,7,"The One with the Home Study",8.3,2716,13/11/2003,20.21
10,8,"The One with the Late Thanksgiving",8.9,3302,20/11/2003,20.66
10,9,"The One with the Birth Mother",8.6,2860,8/1/2004,25.49
10,10,"The One Where Chandler Gets Caught",8,2748,15/1/2004,26.68
10,11,"The One Where the Stripper Cries",9,3684,5/2/2004,24.91
10,12,"The One with Phoebe's Wedding",8.9,3161,12/2/2004,25.9
10,13,"The One Where Joey Speaks French",8.5,3044,19/2/2004,24.27
10,14,"The One with Princess Consuela",8.6,2989,26/2/2004,22.83
10,15,"The One Where Estelle Dies",8.5,2771,22/4/2004,22.64
10,16,"The One with Rachel's Going Away Party",8.9,3141,29/4/2004,24.51
10,17,"The Last One: Part 1",9.5,6221,6/5/2004,52.46
10,18,"The Last One: Part 2",9.7,10381,6/5/2004,52.46
